dataset,model,attack_type,epsilon,acc_mean,acc_std,f1_mean,f1_std,n_samples,n_features
Adult,RF,Targeted_LF,0.3,0.763267,0.00567,0.719628,0.00712,15000,14
Adult,GB,Targeted_LF,0.3,0.811267,0.006685,0.76708,0.004202,15000,14
SMS_Spam,LR,Random_LF,0.01,0.960897,0.002697,0.917741,0.004652,5572,500
SMS_Spam,RF,Random_LF,0.01,0.977578,0.003258,0.948884,0.007646,5572,500
SMS_Spam,GB,Random_LF,0.01,0.946368,0.005878,0.864972,0.016657,5572,500
SMS_Spam,LR,Random_LF,0.05,0.956771,0.003178,0.908122,0.007244,5572,500
SMS_Spam,RF,Random_LF,0.05,0.972556,0.003337,0.938177,0.007927,5572,500
SMS_Spam,GB,Random_LF,0.05,0.94565,0.006797,0.86263,0.021331,5572,500
SMS_Spam,LR,Random_LF,0.1,0.951211,0.003239,0.896386,0.007113,5572,500
SMS_Spam,RF,Random_LF,0.1,0.962332,0.005073,0.916143,0.011942,5572,500
SMS_Spam,GB,Random_LF,0.1,0.943857,0.006151,0.856373,0.02108,5572,500
SMS_Spam,LR,Random_LF,0.15,0.94009,0.007139,0.874982,0.013576,5572,500
SMS_Spam,RF,Random_LF,0.15,0.94852,0.006255,0.8875,0.014108,5572,500
SMS_Spam,GB,Random_LF,0.15,0.940628,0.004958,0.845201,0.016374,5572,500
SMS_Spam,LR,Random_LF,0.2,0.923587,0.007744,0.845986,0.013904,5572,500
SMS_Spam,RF,Random_LF,0.2,0.936682,0.006915,0.862371,0.014864,5572,500
SMS_Spam,GB,Random_LF,0.2,0.938655,0.007365,0.839539,0.02437,5572,500
SMS_Spam,LR,Random_LF,0.25,0.895067,0.008413,0.798639,0.012349,5572,500
SMS_Spam,RF,Random_LF,0.25,0.918386,0.003542,0.829093,0.008234,5572,500
SMS_Spam,GB,Random_LF,0.25,0.937758,0.009139,0.838227,0.032668,5572,500
SMS_Spam,LR,Random_LF,0.3,0.85435,0.011353,0.740638,0.016909,5572,500
SMS_Spam,RF,Random_LF,0.3,0.888251,0.005309,0.779199,0.009678,5572,500
SMS_Spam,GB,Random_LF,0.3,0.930404,0.010726,0.813145,0.038071,5572,500
SMS_Spam,LR,Targeted_LF,0.01,0.961435,0.002407,0.919439,0.004082,5572,500
SMS_Spam,RF,Targeted_LF,0.01,0.979372,0.003356,0.953224,0.008025,5572,500
SMS_Spam,GB,Targeted_LF,0.01,0.947265,0.005303,0.867905,0.016618,5572,500
SMS_Spam,LR,Targeted_LF,0.05,0.958744,0.004846,0.914979,0.008315,5572,500
SMS_Spam,RF,Targeted_LF,0.05,0.975247,0.002167,0.944849,0.005383,5572,500
SMS_Spam,GB,Targeted_LF,0.05,0.949238,0.005399,0.8756,0.016523,5572,500
SMS_Spam,LR,Targeted_LF,0.1,0.953901,0.005717,0.906761,0.009252,5572,500
SMS_Spam,RF,Targeted_LF,0.1,0.970942,0.00224,0.937385,0.00338,5572,500
SMS_Spam,GB,Targeted_LF,0.1,0.950852,0.00554,0.881004,0.018008,5572,500
SMS_Spam,LR,Targeted_LF,0.15,0.943139,0.009502,0.88879,0.015922,5572,500
SMS_Spam,RF,Targeted_LF,0.15,0.962691,0.003086,0.921343,0.005873,5572,500
SMS_Spam,GB,Targeted_LF,0.15,0.954081,0.005627,0.891142,0.01626,5572,500
SMS_Spam,LR,Targeted_LF,0.2,0.926099,0.011906,0.862142,0.018507,5572,500
SMS_Spam,RF,Targeted_LF,0.2,0.950135,0.007728,0.900361,0.013385,5572,500
SMS_Spam,GB,Targeted_LF,0.2,0.955336,0.005482,0.896805,0.014573,5572,500
SMS_Spam,LR,Targeted_LF,0.25,0.897937,0.010326,0.822535,0.013544,5572,500
SMS_Spam,RF,Targeted_LF,0.25,0.924126,0.010282,0.85963,0.014428,5572,500
SMS_Spam,GB,Targeted_LF,0.25,0.953901,0.008113,0.895931,0.020006,5572,500
SMS_Spam,LR,Targeted_LF,0.3,0.861525,0.011339,0.777364,0.012476,5572,500
