Датасет,Модель,Тип атаки,ε (доля),Профиль защиты,F1_base,F1_prot,F1_std,ASR_prot,removal_rate,time_ratio,I_score
Adult,LR,Targeted_LF,0.1500,auto,0.7232,0.7399,0.0079,,0.1500,68.7076,-12.9323
Adult,LR,Targeted_LF,0.1500,lf,0.7232,0.7399,0.0079,,0.1500,80.5799,-15.3068
Adult,LR,Targeted_LF,0.2000,auto,0.7232,0.7423,0.0079,,0.2000,43.5277,-7.8950
Adult,LR,Targeted_LF,0.2000,lf,0.7232,0.7423,0.0079,,0.2000,81.8950,-15.5684
Adult,LR,Targeted_LF,0.2500,auto,0.7232,0.7337,0.0084,,0.2500,61.8916,-11.5725
Adult,LR,Targeted_LF,0.2500,lf,0.7232,0.7337,0.0084,,0.2500,49.4285,-9.0799
Adult,LR,Targeted_LF,0.3000,auto,0.7232,0.7133,0.0050,,0.3000,125.0784,-24.2212
Adult,LR,Targeted_LF,0.3000,lf,0.7232,0.7133,0.0050,,0.3000,69.4017,-13.0858
Adult,RF,Backdoor,0.0100,auto,0.7926,0.7934,,0.9996,0.0100,,-0.8176
Adult,RF,Backdoor,0.0100,backdoor,0.7926,0.7934,,0.9996,0.0100,,-0.8433
Adult,RF,Backdoor,0.0500,auto,0.7926,0.7938,,1.0,0.0500,,-0.7361
Adult,RF,Backdoor,0.0500,backdoor,0.7926,0.7938,,1.0,0.0500,,-0.8206
Adult,RF,Backdoor,0.1000,auto,0.7926,0.7934,,1.0,0.1000,,-0.7291
Adult,RF,Backdoor,0.1000,backdoor,0.7926,0.7884,0.0058,1.0,0.1000,2.6145,-0.1250
Adult,RF,Backdoor,0.1500,auto,0.7926,0.7922,0.0053,1.0,0.1500,2.9818,-0.1966
Adult,RF,Backdoor,0.1500,backdoor,0.7926,0.7922,0.0053,1.0,0.1500,2.7290,-0.1460
Adult,RF,Backdoor,0.2000,auto,0.7926,0.7908,0.0059,1.0,0.2000,2.3761,-0.0761
Adult,RF,Backdoor,0.2000,backdoor,0.7926,0.7908,0.0059,1.0,0.2000,2.5663,-0.1142
Adult,RF,Backdoor,0.2500,auto,0.7926,0.7906,0.0068,1.0,0.2500,2.6270,-0.1264
Adult,RF,Backdoor,0.2500,backdoor,0.7926,0.7906,0.0068,1.0,0.2500,1.8432,0.0304
Adult,RF,Backdoor,0.3000,auto,0.7926,0.7870,0.0084,1.0,0.3000,2.4365,-0.0901
Adult,RF,Backdoor,0.3000,backdoor,0.7926,0.7870,0.0084,1.0,0.3000,2.6974,-0.1423
Adult,RF,Random_LF,0.0100,auto,0.7926,0.7882,0.0064,,0.0100,2.5001,0.2978
Adult,RF,Random_LF,0.0100,lf,0.7926,0.7882,0.0064,,0.0100,2.5061,0.2966
Adult,RF,Random_LF,0.0500,auto,0.7926,0.7830,0.0068,,0.0500,2.9175,0.2116
Adult,RF,Random_LF,0.0500,lf,0.7926,0.7830,0.0068,,0.0500,1.5729,0.4805
Adult,RF,Random_LF,0.1000,auto,0.7926,0.7760,0.0080,,0.1000,1.4293,0.5057
Adult,RF,Random_LF,0.1000,lf,0.7926,0.7760,0.0080,,0.1000,2.5122,0.2892
Adult,RF,Random_LF,0.1500,auto,0.7926,0.7693,0.0088,,0.1500,2.1226,0.3637
Adult,RF,Random_LF,0.1500,lf,0.7926,0.7693,0.0088,,0.1500,2.2930,0.3296
Adult,RF,Random_LF,0.2000,auto,0.7926,0.7474,0.0108,,0.2000,1.9016,0.3969
Adult,RF,Random_LF,0.2000,lf,0.7926,0.7474,0.0108,,0.2000,1.8391,0.4094
Adult,RF,Random_LF,0.2500,auto,0.7926,0.7205,0.0057,,0.2500,1.6625,0.4311
Adult,RF,Random_LF,0.2500,lf,0.7926,0.7205,0.0057,,0.2500,1.7183,0.4199
Adult,RF,Random_LF,0.3000,auto,0.7926,0.6897,0.0076,,0.3000,1.5768,0.4327
Adult,RF,Random_LF,0.3000,lf,0.7926,0.6897,0.0076,,0.3000,1.3906,0.4699
Adult,RF,Targeted_LF,0.0100,auto,0.7926,0.7899,0.0038,,0.0100,2.7144,0.2557
Adult,RF,Targeted_LF,0.0100,lf,0.7926,0.7899,0.0038,,0.0100,2.8416,0.2303
Adult,RF,Targeted_LF,0.0500,auto,0.7926,0.7883,0.0084,,0.0500,2.8766,0.2225
Adult,RF,Targeted_LF,0.0500,lf,0.7926,0.7883,0.0084,,0.0500,2.5298,0.2919
Adult,RF,Targeted_LF,0.1000,auto,0.7926,0.7846,0.0058,,0.1000,1.9485,0.4063
