dataset,model,attack_type,epsilon,defense_profile,acc_mean,acc_std,f1_mean,f1_std,asr_mean,asr_std,removal_rate_mean,removal_rate_std,time_ratio_mean,I_score,n_samples,n_features
SMS_Spam,GB,Backdoor,0.01,auto,0.96,0.003614,0.903832,0.009034,0.990062,0.00968,0.010096,0.0,0.0865,0.383387,5572,500
SMS_Spam,LR,Backdoor,0.01,backdoor,0.970942,0.006019,0.937711,0.012404,0.256522,0.074077,0.010096,0.0,0.9925,0.492192,5572,500
SMS_Spam,RF,Backdoor,0.01,backdoor,0.97991,0.005217,0.953874,0.012804,0.997516,0.002414,0.010096,0.0,0.4778,0.305944,5572,500
SMS_Spam,GB,Backdoor,0.01,backdoor,0.96,0.003614,0.903832,0.009034,0.990062,0.00968,0.010096,0.0,0.2613,0.348434,5572,500
SMS_Spam,LR,Backdoor,0.05,auto,0.963587,0.00852,0.924413,0.016579,0.61677,0.09758,0.050034,0.0,0.3649,0.468042,5572,500
SMS_Spam,RF,Backdoor,0.05,auto,0.977937,0.003788,0.949603,0.009333,1.0,0.0,0.050034,0.0,0.471,0.304517,5572,500
SMS_Spam,GB,Backdoor,0.05,auto,0.956771,0.002562,0.894973,0.006293,0.996273,0.007453,0.050034,0.0,0.1897,0.356384,5572,500
SMS_Spam,LR,Backdoor,0.05,backdoor,0.963587,0.00852,0.924413,0.016579,0.61677,0.09758,0.050034,0.0,0.9085,0.359322,5572,500
SMS_Spam,RF,Backdoor,0.05,backdoor,0.977937,0.003788,0.949603,0.009333,1.0,0.0,0.050034,0.0,0.308,0.337119,5572,500
SMS_Spam,GB,Backdoor,0.05,backdoor,0.956771,0.002562,0.894973,0.006293,0.996273,0.007453,0.050034,0.0,0.0678,0.380769,5572,500
SMS_Spam,LR,Backdoor,0.1,auto,0.962332,0.014044,0.922047,0.026916,0.816977,0.085511,0.100067,0.0,0.9355,0.272829,5572,500
SMS_Spam,RF,Backdoor,0.1,auto,0.977399,0.004826,0.947953,0.011977,1.0,0.0,0.100067,0.0,0.2648,0.345061,5572,500
SMS_Spam,GB,Backdoor,0.1,auto,0.954978,0.003278,0.891316,0.00787,0.997308,0.005383,0.100067,0.0,0.2333,0.34564,5572,500
SMS_Spam,LR,Backdoor,0.1,backdoor,0.962332,0.014044,0.922047,0.026916,0.816977,0.085511,0.100067,0.0,0.9349,0.272966,5572,500
SMS_Spam,RF,Backdoor,0.1,backdoor,0.977399,0.004826,0.947953,0.011977,1.0,0.0,0.100067,0.0,0.3163,0.334762,5572,500
SMS_Spam,GB,Backdoor,0.1,backdoor,0.954978,0.003278,0.891316,0.00787,0.997308,0.005383,0.100067,0.0,0.2284,0.346627,5572,500
SMS_Spam,LR,Backdoor,0.15,auto,0.961435,0.011373,0.919892,0.021674,0.880952,0.057092,0.150101,0.0,0.4993,0.333579,5572,500
SMS_Spam,RF,Backdoor,0.15,auto,0.977758,0.004445,0.949045,0.011215,1.0,0.0,0.150101,0.0,0.2098,0.356519,5572,500
SMS_Spam,GB,Backdoor,0.15,auto,0.953184,0.004335,0.885553,0.011557,0.999172,0.001656,0.150101,0.0,0.1915,0.350725,5572,500
SMS_Spam,LR,Backdoor,0.15,backdoor,0.961435,0.011373,0.919892,0.021674,0.880952,0.057092,0.150101,0.0,0.7702,0.279397,5572,500
SMS_Spam,RF,Backdoor,0.15,backdoor,0.977758,0.004445,0.949045,0.011215,1.0,0.0,0.150101,0.0,0.2439,0.349693,5572,500
SMS_Spam,GB,Backdoor,0.15,backdoor,0.953184,0.004335,0.885553,0.011557,0.999172,0.001656,0.150101,0.0,0.1754,0.353946,5572,500
SMS_Spam,LR,Backdoor,0.2,auto,0.953004,0.015258,0.904046,0.027938,0.909938,0.050849,0.200135,0.0,0.3824,0.33872,5572,500
SMS_Spam,RF,Backdoor,0.2,auto,0.975067,0.004759,0.942478,0.011936,1.0,0.0,0.200135,0.0,0.1563,0.36446,5572,500
SMS_Spam,GB,Backdoor,0.2,auto,0.952646,0.003023,0.88362,0.009509,1.0,0.0,0.200135,0.0,0.1167,0.364508,5572,500
SMS_Spam,LR,Backdoor,0.2,backdoor,0.953004,0.015258,0.904046,0.027938,0.909938,0.050849,0.200135,0.0,0.6395,0.287303,5572,500
SMS_Spam,RF,Backdoor,0.2,backdoor,0.975067,0.004759,0.942478,0.011936,1.0,0.0,0.200135,0.0,0.1632,0.363087,5572,500
SMS_Spam,GB,Backdoor,0.2,backdoor,0.952646,0.003023,0.88362,0.009509,1.0,0.0,0.200135,0.0,0.1124,0.365366,5572,500
