dataset,model,attack_type,epsilon,defense_profile,acc_mean,acc_std,f1_mean,f1_std,removal_rate_mean,removal_rate_std,time_ratio_mean,I_score,n_samples,n_features
Adult,LR,Targeted_LF,0.1,lf,0.822,0.004062,0.733345,0.007676,0.1,0.0,34.7518,-6.144758,20000,14
Adult,RF,Targeted_LF,0.1,lf,0.8446,0.004729,0.7846,0.005831,0.1,0.0,2.8522,0.225517,20000,14
Adult,GB,Targeted_LF,0.1,lf,0.8596,0.003133,0.791395,0.005668,0.1,0.0,4.0484,-0.005055,20000,14
Adult,LR,Targeted_LF,0.15,auto,0.8181,0.005654,0.73986,0.007882,0.15,0.0,68.7076,-12.932306,20000,14
Adult,RF,Targeted_LF,0.15,auto,0.8355,0.007689,0.7794,0.00996,0.15,0.0,1.5526,0.482804,20000,14
Adult,GB,Targeted_LF,0.15,auto,0.85685,0.005164,0.797406,0.009201,0.15,0.0,4.9914,-0.190573,20000,14
Adult,LR,Targeted_LF,0.15,lf,0.8181,0.005654,0.73986,0.007882,0.15,0.0,80.5799,-15.306763,20000,14
Adult,RF,Targeted_LF,0.15,lf,0.8355,0.007689,0.7794,0.00996,0.15,0.0,1.8427,0.424792,20000,14
Adult,GB,Targeted_LF,0.15,lf,0.85685,0.005164,0.797406,0.009201,0.15,0.0,4.062,-0.004697,20000,14
Adult,LR,Targeted_LF,0.2,auto,0.80845,0.007137,0.742336,0.00788,0.2,0.0,43.5277,-7.894954,20000,14
Adult,RF,Targeted_LF,0.2,auto,0.81715,0.008273,0.7647,0.009103,0.2,0.0,2.4062,0.304666,20000,14
Adult,GB,Targeted_LF,0.2,auto,0.8498,0.005464,0.795955,0.008565,0.2,0.0,3.5606,0.094836,20000,14
Adult,LR,Targeted_LF,0.2,lf,0.80845,0.007137,0.742336,0.00788,0.2,0.0,81.895,-15.568413,20000,14
Adult,RF,Targeted_LF,0.2,lf,0.81715,0.008273,0.7647,0.009103,0.2,0.0,1.4039,0.505131,20000,14
Adult,GB,Targeted_LF,0.2,lf,0.8498,0.005464,0.795955,0.008565,0.2,0.0,4.2626,-0.045564,20000,14
Adult,LR,Targeted_LF,0.25,auto,0.78635,0.006541,0.733746,0.008431,0.25,0.0,61.8916,-11.572487,20000,14
Adult,RF,Targeted_LF,0.25,auto,0.79525,0.005908,0.747485,0.006908,0.25,0.0,1.6893,0.439371,20000,14
